id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm89464,Miracle on 34th Street,MOVIE,"Kris Kringle, seemingly the embodiment of Santa Claus, is asked to portray the jolly old fellow at Macy's following his performance in the Thanksgiving Day parade. His portrayal is so complete that many begin to question if he truly is Santa Claus, while others question his sanity.",1947,G,96,"['family', 'comedy', 'drama']",['US'],0,tt0039628,7.9,50969,23.515,7.388
tm61729,The Adventures of Ichabod and Mr. Toad,MOVIE,"The Wind in the Willows: Concise version of Kenneth Grahame's story of the same name. J. Thaddeus Toad, owner of Toad Hall, is prone to fads, such as the newfangled motor car. This desire for the very latest lands him in much trouble with the wrong crowd, and it is up to his friends, Mole, Rat and Badger to save him from himself. - The Legend of Sleepy Hollow: Retelling of Washington Irving's story set in a tiny New England town. Ichabod Crane, the new schoolmaster, falls for the town beauty, Katrina Van Tassel, and the town Bully Brom Bones decides that he is a little too successful and needs ""convincing"" that Katrina is not for him.",1950,G,68,"['horror', 'fantasy', 'animation', 'family', 'comedy']",['US'],0,tt0041094,6.9,16502,16.194,6.5
tm61052,Cinderella,MOVIE,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",1950,G,74,"['fantasy', 'animation', 'family', 'romance']",['US'],0,tt0042332,7.3,164292,93.547,7.035
tm87946,Dumbo,MOVIE,"Dumbo is a baby elephant born with over-sized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy Timothy the Mouse,  the pint-sized pachyderm learns to surmount all obstacles.",1941,G,64,"['animation', 'drama', 'family', 'fantasy']",['US'],0,tt0033563,7.2,135045,54.265,6.999
tm74391,Fantasia,MOVIE,"Walt Disney's timeless masterpiece is an extravaganza of sight and sound! See the music come to life, hear the pictures burst into song and experience the excitement that is Fantasia over and over again.",1941,G,119,"['animation', 'family', 'fantasy', 'music']",['US'],0,tt0032455,7.7,98764,43.609,7.382
tm79357,Bambi,MOVIE,"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",1942,G,70,"['animation', 'drama', 'family']",['US'],0,tt0034492,7.3,146279,62.71,7.004
tm67803,Snow White and the Seven Dwarfs,MOVIE,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.",1938,G,83,"['fantasy', 'animation', 'romance', 'family', 'thriller', 'drama']",['US'],0,tt10414858,7.6,203673,76.395,7.11
tm62671,Treasure Island,MOVIE,"Enchanted by the idea of locating treasure buried by Captain Flint, Squire Trelawney, Dr. Livesey and Jim Hawkins charter a sailing voyage to a Caribbean island. Unfortunately, a large number of Flint's old pirate crew are aboard the ship, including Long John Silver.",1950,Others,96,"['family', 'action']","['GB', 'US']",0,tt0043067,6.9,8772,8.872,6.5
tm82546,Pinocchio,MOVIE,"Lonely toymaker Geppetto has his wishes answered when the Blue Fairy arrives to bring his wooden puppet Pinocchio to life. Before becoming a real boy, however, Pinocchio must prove he's worthy as he sets off on an adventure with his whistling sidekick and conscience, Jiminy Cricket.",1940,G,88,"['animation', 'family', 'fantasy', 'comedy']",['US'],0,tt0032910,7.5,151000,44.545,7.1
tm89831,Fun and Fancy Free,MOVIE,"Jiminy Cricket hosts two Disney animated shorts: “Bongo,” about a circus bear escaping to the wild, and “Mickey and the Beanstalk,” a take on the famous fairy tale.",1948,G,73,"['animation', 'romance', 'comedy', 'family', 'fantasy']",['US'],0,tt0039404,6.4,8679,10.019,6.377
tm77826,The Reluctant Dragon,MOVIE,"Humorist Robert Benchley attempts to find Walt Disney to ask him to adapt a short story about a gentle dragon who would rather recite poetry than be ferocious. Along the way, he is given a tour of Walt Disney Studios, and learns about the animation process.",1941,G,74,"['animation', 'comedy', 'family']",['US'],0,tt0034091,6.8,3513,8.551,6.7
tm77407,Saludos Amigos,MOVIE,"Live-action segments show members of the Disney staff touring South America and recording their impressions in sketches. These segue into four animated sections: ""Lake Titicaca"" depicts tourist Donald Duck's troubles with a stubborn llama; ""Pedro"" tells of a little mail plane's adventures flying over the treacherous Andes; ""El Gaucho Goofy"" transplants an American cowboy into the Argentine pampas; and in ""Aquarela do Brasil,"" Jose Carioca shows Donald the sights and sounds of Rio de Janiero.",1943,Others,41,"['animation', 'comedy', 'family', 'fantasy']",['US'],0,tt0036326,6.1,6506,17.765,5.876
tm4623,The Three Caballeros,MOVIE,"For Donald's birthday he receives a box with three gifts inside. The gifts, a movie projector, a pop-up book, and a pinata, each take Donald on wild adventures through Mexico and South America.",1945,G,72,"['animation', 'comedy', 'family', 'fantasy']",['US'],0,tt0038166,6.3,14634,14.862,6.341
tm5822,Melody Time,MOVIE,"In the grand tradition of Disney's great musical classics, Melody Time features seven timeless stories, each enhanced with high-spirited music and unforgettable characters. You'll be sure to tap your toes and clap your hands in this witty feast for the eyes and ears.",1948,Others,75,"['animation', 'music', 'comedy', 'family']",['US'],0,tt0040580,6.2,6397,12.425,6.269
tm80290,Swiss Family Robinson,MOVIE,A family setting out for a new life across the sea is shipwrecked on a deserted island. The family members collaborate to create a home for themselves in the jungle environment.,1940,Others,93,"['action', 'family']",['US'],0,tt0033124,6.4,714,3.254,5.4
